,PR,NPC,POLY,EBR
242,72,10,4.58117713960762,0.0
243,60,7,6.121891891891892,0.0
244,41,7,6.000791974656811,0.0
245,47,9,4.933749452474814,0.013513513513513487
246,60,8,6.468946419937585,0.0
247,52,8,5.164481128935632,0.0
248,53,7,6.8043250327654,0.0
249,52,7,6.9102050128744175,0.0
250,71,9,7.239168396428454,0.0
251,73,12,8.810073074024315,0.0
252,71,11,9.138193804494223,0.0
253,62,10,8.37269582731293,0.0
254,68,12,7.8013374944271066,0.0
255,50,9,5.487018874144894,0.010309278350515427
256,50,7,5.84654854837295,0.0
257,65,10,5.77615567491415,0.0
258,74,9,2.158866444984863,0.0
259,75,11,4.15637756387643,0.0
260,60,8,8.106795687522093,0.01666666666666672
261,63,12,7.113091789086199,0.0
262,75,12,7.29489468047126,0.0
263,65,12,3.598839114356598,0.0
264,70,12,3.6582271927099512,0.010204081632653073
265,67,9,10.109940357852883,0.0
266,53,9,5.899765932861248,0.0
267,47,12,6.089526292916124,0.0
268,39,9,5.813528077141236,0.0
269,51,8,6.235282510030915,0.0
270,48,9,6.002004008016032,0.0
271,59,8,4.908068373040475,0.0
272,58,9,5.129327956989247,0.0
273,51,10,5.277538079361967,0.0
274,68,10,5.144500199831254,0.0
275,55,11,10.188577811910912,0.0
276,71,11,5.827552986512524,0.0
277,72,9,5.988916471452047,0.0
278,69,10,7.022364217252396,0.0
279,70,11,7.720324367959491,0.0
280,28,6,6.959431228519442,0.0
281,43,6,8.597650449820945,0.0
282,57,9,7.095457234895799,0.0
283,67,8,8.995122430273668,0.0
284,43,7,2.7269508030858733,0.0
285,50,7,2.7895550839837426,0.0
286,36,9,4.908038923468046,0.0
287,53,8,6.285322547473778,0.0
288,51,10,7.771851266517406,0.0
289,55,12,3.916535062665905,0.0
290,59,12,4.971853570331957,0.0
291,55,8,3.7970838903743314,0.0
292,58,12,4.660257547270212,0.0
293,64,12,5.301400112760759,0.0
294,32,8,4.117157490396927,0.0
295,51,7,6.212386877828054,0.04081632653061229
296,56,10,4.684700082169269,0.0
297,69,8,7.043523372651813,0.0
298,50,7,7.442116919669635,0.01538461538461533
299,71,8,11.323393574297189,0.0
300,60,6,7.022876039819992,0.012820512820512775
301,60,8,6.511405188925648,0.05063291139240511
302,67,9,11.17368366608048,0.0
303,69,10,9.827999129109514,0.0
304,55,8,5.3331878872501965,0.0
305,50,7,4.318780292332939,0.0
306,59,6,4.09162226169331,0.0
307,52,9,3.4426400801079717,0.0
